input,risposta
va bene,"*Madame Tristezza*  Madame tristezza era lì. Lei non parla. Ascolta solo ed ispira domande. Non si offende se le urli addosso, anzi quasi le piace. È così educata.  È una donna un po' in là con l'età, si veste sempre elegante. Credo sia di origine nobile, ma chi può dirlo. Ha una bellissima pelliccia nera nera e dei guanti neri neri che le coprono tutte le braccia quasi, che però lasciano intravedere la pelle un po' vecchia di una qualsiasi donna di quell'età. Non è grassa, ma neanche snella, le piace abbuffarsi però. Indossa sempre anche un cappello molto largo, come se si dovesse riparare dal sole anche se sta sempre chiusa in casa. Non ama la luce del sole. E poi ha un bastone. Dall'utilizzo misterioso visto che sta sempre seduta. Lei era lì, come sempre d'altronde. È stupido chi bussa alla porta aperta e non entra credendo che la casa sia vuota.  La trovi lì a tutte le ore del giorno. Anche se preferisce la notte, non inoltrata, la notte buia. È normale che le piaccia il buio, visto che il sole non le piace. Lei mi fa parlare ma non parla. È una cosa incredibile perché mi fa salire il nervoso. Nessuno mi obbliga ad andarla a trovare eppure vado spesso a farle visita. Lei mi invita, io lo so, è così gentile. Poi però io arrivo e lei non risponde.  Madame Tristezza è parecchio ermetica, quasi più di me; ogni tanto facciamo perfino a gara a chi lo è di più. Prima o poi vincerò.  La vecchia non ha risposte a nulla, ma solo domande; anche questo è incredibile. Lei è una donna da punto e virgola, le pause troppo brevi non le piacciono, ma nemmeno troppo lunghe. Lei si prende il suo tempo, quello necessario. A volte mi fa da mamma. Ci sono periodi in cui ha bisogno di tanta compagnia. O forse io ne ho bisogno. Non lo so. Fatto sta che siamo sempre insieme e se sono solo so che quando tornerò a casa lei mi aspetterà lì con tutta la sua pacatezza. Alla fine ho imparato a conoscerla, è diventata un'amica. Lei sa tutto di me. Dalle domande si può capire molto più che dalle risposte. Però anche lei sa essere molto molto antipatica. Perfino perfida; in realtà non so se lo faccia apposta o meno, io nel dubbio non le do troppe colpe. Perché ci sono delle volte in cui davvero io non la voglio vedere. Non perché mi stia antipatica, è pur sempre la mia amica Madame. Ma perché mi chiama sempre da lei, anche in momenti inopportuni. Per esempio a volte mi chiama e mi fa stare con se tutta la notte. Mentre io vorrei dormire. Oppure mi chiama ripetutamente quando ci sono altre persone. E Madame Tristezza lo sa bene che non mi piace. Infatti io mi arrabbio, e nessuno capisce il perché me la prenda con loro che non c'entrano nulla. Ma d'altronde ognuno avrà una propria amica. La mia era Madame Tristezza e non la conosceva nessuno.  Dopo che le faccio compagnia mi passa sempre la voglia di parlare. Ti fa proprio odiare le domande per quante te ne fa fare e le risposte visto che non le dà mai. Le domande abbondano e le risposte scarseggiano. È sempre così con Madame.  L'importante è capirla, perché per il resto è una buona amica. Bisogna sapere che lei ispira domanda di tutti i generi, e molte, anzi parecchie, anzi tantissime, sono molto stupide. Non servono proprio a nulla. E questo è utile in un certo senso. Madame Tristezza mi aiuta a capire cosa è stupido e cosa no. La mia vecchia amica, in tutti i sensi, è proprio saggia.  ""Ei ciao, come stai?"". Busso alla porta ed entro, poi mi siedo davanti a lei e iniziamo a tenerci compagnia. Non mi abituerò mai; quella casa ha un pavimento gelido, ogni volta che mi siedo mi fa venire i brividi; anche se in fondo è diventata una sensazione piacevole. Tutto diventa piacevole se abituale.  ""Io mi sento molto solo"" inizia sempre così la conversazione ""oggi non ho fatto nulla sai?"" Non parlo mai di fretta con lei; mi capisce, sa che ho bisogno del mio tempo per riordinare i pensieri.  All'inizio mi siedo e rimango lì, a gambe incrociate; mi guardo in giro, poi perdo il mio sguardo nel vuoto. A volte lo ritrovo, altre no. Poi guardo Madame dritto negli occhi; la fisso proprio, e pure intensamente. Poi però mi stufo e allora mi appoggio alla sua pelliccia nera; la testa mi sprofonda sempre: è come se tutto diventasse ovattato e tutti i sensi, nessuno escluso, si spegnessero quasi. Tranne il pensiero, è ovvio. L'olfatto a volte mi fa stare bene, ma quando scompare non mi manca. L'udito già mi dà fastidio di suo, con quel fischio assordante, e quindi quando scompare non mi manca. Il gusto me l'ero pure scordato; serve solo a chi è già contento, o felice, devo anche capire bene la differenza; fatto sta che anche il gusto quando scompare non mi manca. Il tatto e la vista di per sé non sono tutta questa perdita... Ma insieme sono una cosa spaventosa. Perdere la percezione dello spazio vi assicuro che non è affatto carino. Quando sono in un posto, qualsiasi esso sia, e mi sento solo, sento comunque di esistere. È bello sentirsi soli finché si sta in compagnia di Madame; in un luogo tranquillo e sicuro. Ma quando tutto inizia ad oscillare. Vedo il fuori della casa dondolare. Gira tutto sempre più forte, come un vortice, un turbine. Perdo sempre l'equilibrio, che io sia seduto o sdraiato non fa importanza; scivolo sempre e non capisco,  se giro io o la stanza,  il soffitto è cielo, ma senza stelle e senza luna; il buio illumina tutto; le pareti si abbattono; tutto gira contro tutto; e io che ho perso l'equilibrio cado. Cado senza fine. In un pozzo,  che se fosse un pozzo per davvero, mi farebbe più piacere. E intanto cado. E non faccio in tempo ad avere un pensiero che quello rimane lì appeso, mentre io cado in basso. Ed è inquietante vedere al buio quella catena di pensieri lasciati indietro e persi, ai quali non mi posso più aggrappare.  Non c'è niente; nessun riferimento; niente sotto e niente sopra; ma comunque senti sempre quanto gira. Poi si ferma. A volte te ne vai, altre ti fermi ancora un po' con Madame. Il brutto è che non si sa quando finisce, dipende da quanto resisti, finché hai forze non ti addormenti. Un po' come la vita. ""Ciao Madame."", mi alzo e me ne vado.  Succede così. Con tranquillità.  Madame Tristezza; che tipo che è. Quasi buffo come personaggio. Frutto del pensiero di chi soffre; reale seppur personale.. Se sei davvero tanto stanca non ti consiglio di leggere ora"
da ermetica mi piace un fracco,"Leggi veloce hahahaha. Se ti sembra scritta un po' in modo infantile lo è, è fatto apposta. Comunque la parte della caduta dovrebbe essere abbastanza dettagliata, non so quanto comprenda anche quello che provi tu"
significa tanto,Non volevo andassi a dormire così. In realtà non volevo andassi a dormire proprio. Puoi continuare quanto ti pare. Buonanotte
ho visto l'alba,"Eh già, io soltanto una volta, ero troppo stanco. Bela"
ma l'etimologia di racchetta alla fine?,Uhhhhh verooooo
buon film,No amur. Il film è finito. Sto tornando a casa
non capisco un cazzo,Eccomi
vai,"Ecco mi stavo sistemando. Cosa, l'etimologia di racchetta? Hahaha"
eh certo,"Non mi ricordo bene di preciso. Però in sostanza deriva dall'arabo e significa ""palmo della mano"". Poi è stato storpiato in francese, e poi in italiano. In pratica ha fatto 3 lingue prima di arrivare a ""racchetta"" hahaha"
pazzesco,"Hahahahaha. In realtà non è niente di ché, non so perché mi avesse affascinato così tanto ieri notte"
anche se è stupida,"""Entusiasmo"" è molto molto molto meglio. Ma questa dovresti spiegarla più tu a me che io a te essendo greco hahaha"
forse la so ma devo controllare,En. Theos. E qualcos'altro che non ricordo ma che vuol dire essenza hahahaha
è bellissimo,I know
dio che schifo scrivere in greco così,"τεος?. N9n ne ho idea, ci ho provato. Il greco lo uso solo per la matematica 🫠"
"quasi, con la theta",Dove hahahaha
quella è la thau,Θεός?. Bellissima è già tanto se faccio latino
meglio non flexare troppo che poi tu te ne esci con altre formule come quella di ieri,Di alla zia barbara che sto ancora aspettando il suo corso pomeridiano di greco che mi aveva promesso 🥲
ora credo sia a Parigi haha,"Stavo per scriverti ""con chi chatti, con il tuo fidanzato?"" Poi mi sono ricordato che ne hai davvero uno. How to be toxic with Francesco Catalanotti's master class 03/08/22"
ti ricordi Davide?,Si..?. Ho paura di quello che stai per dire
e non mi lascia dormire,Emm. Oke
che c'è,Non lo trovo ma lo replico:. *no comment perché se comment brutto comment
che devi dire,No niente. Penso solo a come ti ha rifiutata. But. Non voglio essere guasta feste
perché è convinto che non possa trovare nulla di meglio,Come scusa?. Sicura che non sia vegano?. Perché se così fosse te la prendi nel culo
non mi ignorare,Ma chi ti ignora. Ti lascio lo spazio necessario per scrivere a Davide
ma vaaaaaii,E se ti avanza spazio anche al tuo ragazzo 😃 toxic again
è andato a dormire,Oh noooo. Dai vai a nanna
mi manchi fra,"Mi fa ancora strano affezionarmi a qualcuno dopo quello che è successo con Giulia. Anche tu un po' mi manchi, ma se devo essere sincero mi fa un po' paura"
a volte posso tenermelo,"No invece. Mi fa piacere. Ho solo paura per te. Nella mia emotività sono molto razionale, e so che dopo relazioni, soprattutto importanti, si tenda a ""tappare"" il buco lasciato da una persona con un'altra. E non vorrei mai che fosse così perché non voglio assolutamente farti stare male. Pls answer me"
ma non credo succederà,Perché?
"hai ragione, sei molto razionale","In questo momento non voglio niente di ""serio"". L'unica cosa che voglio davvero è stare bene"
lo capisco,E con te sto bene
anche io,"Ma ormai il tempo è poco, non posso certo chiederti di stare bene assieme per una settimana prima che io parta per il Canada"
anche perché non sono in una situazione semplice,Esatto
però mi voglio godere il tempo che ho con te,Che alla fine sarebbe questo insomma
si,"Mentre leggevo questo messaggio c'era di sottofondo ""que sera, sera, what ever will be will be"""
il destino è una cosa bellissima,"Certo che se potessi scegliere. La prossima volta sarebbe bello se potessi baciarti. So che la tua situazione non è semplice, come hai detto tu, però mi sembra assurdo anche tirare avanti una cosa nata quasi per sbaglio con un ragazzo conosciuto da poco. Già se fosse per Davide capirei molto di più. Scusa ora mi sento davvero un po' toxic hahaha"
"devo prendere una posizione, è una cosa che ho imparato a fare da poco e mi sento piccola per questo. ho sempre lasciato che fossero gli altri a dare una svolta alle situazioni.","Attenzione, la Elena ribelle inizia a pensare alle conseguenze. Domani grandina. Io da tutte le esperienze che ho fatto ho solo imparato che devo iniziare a godermi di più il presente. Non in modo sregolato, sempre pensando anche agli altri, ma con meno ""limiti"" possibili. Alla fine l'importante è la comunicazione. Con quella si può stare bene quanto si vuole"
"saggio, sei saggio",Detto questo credo andrò io a nanna perché mi ero ripromesso che sarei andata a dormire prima delle 2 o comunque presto visto che dormo troppo poco e troppo male
nooo,Enniente
dai domani,Numero di risvegli sta notte?
1,"Ha senso, più tardi dormo meno ne faccio perché muoro"
è veramente figo,"Una delle caratteristiche di cui mi vanto molto. Sincerità, onestà ed affidabilità. Tutte al 100%. Al massimo qualche mezza verità tattica piazzata li hahahaha"
beh indispensabile a volte,"Fanno sempre comodo per chi come me non sa mentire :"")"
"io divento rossa, è una cosa odiosa","Io non riesco proprio, blocco mentale per le bugie"
hahahahahaha troppa trasparenza,🤷🏻‍♂️
buonanotte tesoro ❤️,:). Buonanotte  *bacino
buondì,Buongiorno
"comunque niente da dire, la costa azzurra è da fare in moto, spacca","Un po' stanco ma tutto bene. Devo per forza riprendere ad andare a letto presto, fa davvero la differenza. Lo terrò a mente"
dai stasera ti faccio andare a letto presto,"SONO. MORTO. Sta sera altro che, a letto alle 22"
che hai fatto oggi?,"Mattina ero rincoglionitissimo per il poco sonno, non ho fatto praticamente nulla, solo giocato un po' a scacchi. Mangiato, dormito un'ora dopo mangiato, e poi ho fatto un mega giro in bici con un mio amico dalle 15:45 alle 20:15 :D. Adesso ho finito la doccia e ceno, POI nanna presto. I'm sorry ma proverò davvero ad andare a letto ora, sicuro non dormirò subito ma non guardo più il telefono che altrimenti mi tiene sveglio. Notte :)"
giornatina,"Ah no, ultima cosa, devi dirmi quanti risvegli farò. Ormai non posso andare a dormire senza saperlo"
3 temo,Oki doki. Notte notte
ma stanotte?,Sisi
la scorsa notte intendo,1
perfetto,:)
puoi andare a dormire,L'orologio dice due volte ma mi sono svegliato 5 volte
notte movimentata,"Comunque oh, è incredibile, non c'è una volte che non ti scriva in cui non sei già online hahaha. Già"
programmi per oggi?,Mattina accompagno al centro commerciale mio padre a sistemare il telefono/comprarne uno nuovo. Pomeriggio credo farò una volta per tutte la maledetta valigia
null,Ehh addirittura
ho dei problemi con la mia figura,"Nel senso che fai spesso figure di merda? Tranquilla, anche io"
come stai?,🤦🏻‍♂️
gemellini,"Doopo ti dico. Riassunto: a mio padre è impazzito il telefono e vuole cambiarlo subito prima che partiamo ma è un casino, perché deve fare un backup enorme e dobbiamo capire come farlo in fretta e poi tornare dalla apple per cambiare telefono, in tutto questo alla fine sono stato fuori tutto il giorno e tra un po'esco di nuovo e torno ad aiutarlo. Quindi niente valigia ma solo tanto caldo. Domani almeno vado in una piscina pubblica in Brianza che a quanto pare è abbastanza bella con un mio amico, però questo vuol dire rimandare ancora la valigia. E in tutto questo io ho sonnooooo e caldoooo ma soprattutto sonnooo. AHHHHH IN CANADA LA MIA HOST MOM MI HA DETTO CHE C'È LOLIO DOLIVAAAAAAA. Sono contentissimo."
se ha anche la moka per il caffè siamo a cavallo,"Yessa. Con te ci sarei andato in moto, le strade per arrivare li sono molto belle, vera campagna"
ci andiaaaamo,Potrebbe essere un'idea per quando ci vedremo prima che io parta hahaha
se hai sbatti,"Se hai sbatti.. ma come parli? ""Se vi aggrada l'idea"" come minimo"
"chiedo umilmente la grazia del perdono vostro, eccellenza. sarei deliziata della vostra compagnia, spero sia altrettanto per vossia.","Ecco, così mi hai decisamente e piacevolmente colpito 🥰"
"la ringrazio, sono profondamente onorata di tale asserzione, eccellenza","Be' sappi che se la carriera da ribelle ti andasse male, sappi che saresti un'ottima nobile hahahahaha"
quindi forse forse,Ho esagerato? :)
perché?,La cosa del mi piace alla storia. Non vorrei che te la fossi presa hahahaha
ero ironica,"Spe, hai visto che poi ho messo mi piace vero?"
AAAH,HAHAHAHAHAHAHAHAHA
questa me l'ero persa,Nice
beh,Rido molto
audace,AHHAHAHAHA. Bene bene. Ho avuto la reazione in diretta stampa
visto che privilegi con una testa di cazzo come me?,:D. Detto questo buonanotte 🫶
lei è quella con il vestito blu?,Come scusa?
nel tuo post,"Avevo già aperto e stavo guardando hahaha. Ero sicuro fosse in un post. Anyway nope. Scusa mi è appena entrato un pipistrello in camera 🫠🫠🫠🫠🫠. Oh eccomi, è uscito, giuro che ti volevo prendere seriamente"
oddio come hai fatto a mandarlo via?,In realtà sono uscito e lho chiuso dentro poi se n'è andato da solo dopo un po' hahahaha
guerriero impavido insomma,Be brave. Esattamente
mamma mia,"Comunque no, lei ha quasi 30 anni. Quella alla mia sinistra invece non ricordo ma sopra ai 25/26, fa la commercialista. Entrambe fidanzate da sempre :). Per placare la tua curiosità. E tra parentesi, non ho mai pubblicato nessuna foto né di né con Giulia"
nulla in contrario,"Non mi piacciono i social, li ho solo perché servono come biglietto da visita spesso e volentieri. Poi raramente posto qualche storia se proprio vorrei ""salvare"" quel ricordo. Forse in una foto di gruppo in piscina in una storia c'era anche Giulia per dire"
in qualche modo,Io li disinstallo periodicamente
me lo avevi raccontato,Cioè lo farei definitivamente ma periodicamente ne ho bisogno per una cosa o per l'altra e li ri installo e poi è sempre difficile toglierli di nuovo. Comunque. Come stai?
com'è andata in piscina?,"Nono mi interessava sapere come stavi tu, io voglio andare a dormire hahahaha. Sincerità pt 2000"
HAHAHAHAHAHAAHAH,È solo che sai.. dopo che qualcuno ti dà la buonanotte di solito non te ne esci con una domanda stile sad sulla sua ex :)
hai totalmente ragione,"Però va be', se non ti viene da dire altro oltre che ""bene"" aspetterò:)"
come siamo messi a ore di sonno?,Devo solo andare a dormire prima
😐,"Rosso Durata del sonno, viola addormentato e giallo svegliato"
AAAAAAH,Giovedì addormentato presto e dormito tanto
ok ci sono,Mercoledì addormentato tardi dormito poco
i miei neuroni si sono risvegliati,Risveglio sempre più o meno alla stessa ora. Ora falli tornare a dormire però hahahaha
ma lo farò un'altra sera,🥺. Lo voglio fare anche io. Abito anche all'ultimo piano ma ho gli oblò serrati cacchio
✨cacchio✨,Si. Cacchio
scavalca i cancelli del parco,In effetti hahaha. Per ora tento di viaggiare in sogno. Poi vedremo. 👋👋👋
basta,Sai cosa sono meglio da stanchi?. Le coccole
MA MAGARI,Oh come mi piace quando parli così
sono in un periodo di enorme carenza d'affetto,Conquisti il mio nobile cuoricino
clean,Io che lo sono costantemente da sempre: 🫠. HAHAHAHAHAHAHA
il meglio che posso avere è un cuscino,È un mese che non riesco a dormire se non abbracciato al cuscino
sto letto è gigante,Anche se in generale devo sempre avere qualcosa tra le braccia
stile Amleto,"Io ho una piazza e mezza, vivo comodo. Ogni tanto dormo abbracciato alla cassa 🫠"
questa mi mancava,Non c'è notte che io non dorma con la musica
ah veramente?,Oh anche quelli ma non siamo ancora a quel livello di confidenza 💕💕💕💕💕
nuovo obbiettivo,"Yepp, prima di dormire la metto sempre e poi va avanti per un'ora. Però se mi sveglio di notte la riaccendo per un'altra ora. Senza musica non vivo, me la porto ovunque. Dormo, mangio, faccio la doccia, studio, leggo, *qualsiasi altra azione, ecc"
musica di tutti i tipi?,La mia playlist principale ha una durata totale di 48 ore ed ha dentro tutti i generi possibili. Ovviamente solo musica di qualità
quando avrò sbloccato il livello confidenza 2 posso ascoltarla?,"Poi ho una playlist per tutto, dipende dalla sera ma per dormire principalmente ascolto Prima di dormire, Tranquillità, Sad o radio di singole canzoni"
le radio sono una genialata,"È talmente grande che si hahaha non è la selezione delle migliori, sono solo letteralmente tutte quelle che mi piacciono"
"meglio, varia","Si assolutamente, funzionando da dio, le canzoni sono esattamente identiche per stile, vibes e tutto il resto"
esatto,Può passare da Beethoven a 50 cents
io sto collassando malissimo,Sisi. Anche io. Solo che ci sono abituato e non lo sento. Buonanotte ✨
buongiornoo,Giorno
come stai?,Assonnato. Stanco. Tanto assonnato e tanto stanco
alle 2,"Provavo a dormire ma non riuscivo, mi sono anche sciacquato in doccia per rinfrescarmi e cercare di dormire meglio"
all'una di notte,Alle due. All'una c'eravate tu e il pipistrello a tenermi compagnia
tu sei pazzo,Sono figo. È diverso
la piscina?,"Tutto bene, alla fine siamo stati veramente tutto il giorno, siamo usciti alle 19 e qualcosa. Ho nuotato un po', mi fa bene. Gli anni scorsi eravamo iscritti allo Sporting Club di Monza e andavo sempre in piscina a nuotare, ora che ne avrei bisogno per rimanere un po' in forma invece non nuoto più :("
"non so cosa mi spaventa di più, se quella maledetta lavagna o il fatto che tu sia così ordinato","Fatti rapire. Si poi c'è stato un anno che ho passato interamente in piscina a casa di Faro e mio padre si annoiava ad andare da solo quindi abbiamo annullato l'iscrizione. In genere si, oggi c'è un mio amico a casa con cui ho giocato e che ora mi sta aiutando con la valigia, lo stesso della piscina di ieri. ❤️❤️"
null,🙃
che belliinoo,Mi fa troppa concorrenza
non lo lascio il posto fisso,"Hahahahaha. Com'è andata la gita?. Oggi vado a letto presto, notte notte"
"buondì, com'è andata",Svegliato ora
pazzesco ci stiamo superando,Io ho ancora sonno. Anche se dormo tanto non riesco comunque a riposare
dormicchia dopo pranzo,Lo farò
però più dormi più ti senti assonnato,LO SO. Dormire al pomeriggio è devastante
null,Scusa ma dovevo per forza di cose vantarmene con qualcuno hahaha
grande papi,Quando torni che non ricordo? 24?
23,👌. Ei
ehi,Come va
più o meno tu?,Buongiorno. Come mai?
la situazione dei miei sta peggiorando,In che senso?. Tra te e loro o tra di loro?
sai quando uno ha il presentimento che sia l'ultima volta?,Capito..
va beh non so perché ti stia dicendo queste cose,"Faro ha passato la stessa cosa l'anno scorso e mi raccontava tutto. Quindi posso immaginare come ci si sente. Mi dispiace molto, ma l'unica cosa che devi aver bene e sempre in mente è che tu non centri niente con il rapporto che loro hanno tra di loro"
boh mia mamma ieri ha fatto un minestrone di roba,Dei motivi?
si,Se vuoi raccontarmi meglio adesso o dopo scrivimi pure. Ora devo preparare la valigia perché tra poco parto ma poi leggo tutto
"tranquillo, non voglio darti fastidio. in ogni caso non mi piace parlare di ste cose in chat, non so perché l'ho tirato fuori. buona valigia",A parte che non mi dai assolutamente fastidio e comunque capisco non ti preoccupare. Valigia finita mi sciacquo in doccia e poi parto
qual era la prima tappa?,Parma. Eccomi qua. Ho finalmente finito. Ho portato la moto da papà che c'è più spazio e ora aspetto che finisca di prepararsi lui e partiamo
ma con tua mamma fai delle vacanze?,Ho fatto quelle ad Amsterdam. Partiti ora
aah,"Ora ci facciamo un giro in città ma il bed&breakfast è super carino, ha anche la piscina"
e se vuoi mandami qualche fotina 🙃,Sissignora. Adesso ho il telefono un po' scarico perché come da prassi mi sono scordato di caricarlo. Ma in generale yessa
hai il caricatore spero hahaha,"Sisi ma ora sono in città, torniamo più tardi in camera"
null,Elena basta mandarmi foto di moto hahahahahaha. Comunque me l'hai mandata nell'unico momento in cui ho acceso i dati
che foto aesthetic,Aspetta di vedere le altre muahajah
ti sta piacendo?,"Carina, molto piccola, il centro è *pieno* di chiese totalmente affrescate che io adoro tantissimo quindi me gusta. Però mi sembra che oltre a qualche parco di vecchi nobili non ci sia troppo altro da vedere in città"
quanto state,Qui due notti. Poi Modena
domani che fate?,Tu che adori mangiare. Figa ho bevuto un po' tantino. Il lambrusco. È di un buono...
goditela anche per me,"Il vino mi mancherà in Canada. Meno male che sono con mio padre altrimenti potrei dire molte cose compromettenti. Figa se non dormo bene oggi non dormo bene mai più. Sto di un bene. Eric clepton, la luna, la campagna, il fresco, il vino in circolo, la luna, il rilassamento.... che bella vita. Quasi non mi torna la poesia. Va be' vad9 a dormire, buonanotte:). *bacini. Eh. Ehehe"
ooh quest'applicazione pretende troppo ao,"Be' sono stato sveglio per un'ora intera, lho mandata in confusione"
ma perché poi,Quel maledetto lardo....... Forse anche il vino hahahaha
HAHAHAHAHAHA,Sono rimasto a guardare il soffitto per 45min senza riuscire a dormire
ma no hahaha,🤷🏻‍♂️. Prossima cena prosciutto e melone
mi rilasso solo a guardarlo,"Ducati Scrambler night shift, 803 di cilindrata"
eeeh vabbò 🤤,Teatro Farnese
tutto in legno,È stupendo
noi siamo andati a Saint Tropez,Uh poi fammi vedere
va bien,Qui invece una signora che gestisce il b&b è una fotografa e si è offerta per farmi delle foto :)). Finalmente forse avrò delle foto di qualità. Fotomodello come minino
mamma mia 🤤,Buonanotte :3
menú di ieri sera?,"Hahahahaha. Tagliatelle funghi e panna, coniglio alla cacciatora, contorno di cipollini all'aceto balsamico e semifreddo con meringhe"
vino?,"Sempre lambruscooooo, è troppo buono"
la notte com'è andata,"Svegliato tante volte e sonno profondo sempre poco, però ho dormito abbastanza quindi mi accontento"
vedo l'alba ogni giorno,Ma allora ti svegli per tanto
"ma sono super carica, non so perché","Va be', finché ti senti bene e ti piace anche"
ho tutto l'anno per dormire,Ehh come se la tira hahaha. She's out of line but she's got point
oggi che fate,"Ma infatti, io dormo 6 ore di settimana e 8 nel weekend se va bene. Probably visitiamo almeno un borgo qui vicino che ci sono dei bei castelli e dopo c'è il prossimo step che è Modena"
è lei la fotografa di famiglia,Nup ma posso accedere da google 😗. Hahahahaha okay
https://www.instagram.com/s/aGlnaGxpZ2h0OjE3ODk2MDI1MzUxNjQ5ODcy?story_media_id=2901124912551927034_1664712877&igshid=MDJmNzVkMjY=,😶
che,"No niente avevo sbagliato emoji hahahaha. Mi ero sbagliato, c'era prima Reggio Emilia :3. Qui è stata creata la bandiera d'Italia"
ma che figo,Ora siamo qui
madonna che posti meravigliosi fra,Comunque credo di avere un po' troppi capelli:
madò solo tu,"Ma hahaha questa mi è nuova. Comunque grasie 🥰 è tanto che non ricevo complimenti, mi fa particolarmente piacere"
non vedo un solo difetto in te,"Così piango però. Il vanesio narcisista che è in me sta urlando *""dimmeli tuttiiiii""*"
a piccole dosi a piccole dosi,Ed ecco il primo difetto fa aggiungere alla lista hahaha
hahahaha fa bene,Comunque questa è la notte di San Lorenzo
non ho visto le stelle però,"Qui siamo in campagna, si dovrebbero vedere bene. Ma non so se uscire o meno perché 1 fa freddo 2 ho sonno"
e goditi le stelle,"Non ne dubitavo. Giusto per curiosità, il me narcisista vorrebbe sapere con chi ti stessi scrivendo se fosse possibile 🫠"
sei sicuro di volerlo sapere?,"Non sono mica innamorato, sono un essere razionale"
mi piace,🥰
è pazzesco,Questo è per metà nei pregi e per metà nei difetti hahaha
non direi,Dipende dalla persona e soprattutto dopo un po' tende a stufare🤷🏻‍♂️. AH. Qui
a piccole dosi,Ero rientrato in casa e passato davanti ad una camera c'erano due che stavano palesemente facendo l'amore 🥲. Super triste
merda beati loro,Va be' scusa mi è tornato in mente ora e dovevo dirlo hahahaha. Esattamente. Dai ti lascio così ti dedichi solo al tuo grande amore e io me ne vado bello che a nanna :)
l'altro è incazzato,Come scusa. Noccapito. Perché mai dovrebbe hahahaha
Davide,Fidanzato. Grande amore. Giusto?
bah si sta comportando da coglione,"Ti giuro che pensavo volessi scrivere ""Davide e Golia"" e ti fossi sbagliata. 🫠🫠🫠🫠🫠🫠🫠🫠🫠. Ah me piace la situazione, sono il quarto incomodo, non lo sono mai stato prima d'ora, sono tutte emozioni nuove"
hahahaha com'è?,Particolare. Diciamo che in questa situazione io credo di essere l'unico totalmente tranquillo e rilassato. Non che questo possa aiutarti in alcun modo... però io me la godo :D
eh bella così,"No dai scusa non volevo essere troppo cattivo. Poi mi sento in colpa e non mi piace sentirmi in colpa. Comunque sappi che se mi ubriaco non faccio altro che dire ""ti voglio bene"" a chiunque. Mentre la rabbia non fa neanche parte del mio repertorio d'emozioni :D"
gemellinii,Ok scusa ora credo davvero che ti lascerò in pace perché ti immagino a correre tra tre chat diverse tipo cambiando mood ogni due secondi e deve essere strano hahahaha
hahahahaha più che altro non riesco a dare a nessuno la giusta attenzione e mi dà fastidio,Esattamente. Perciò. Addio hahaha
io e te facciamo sempre belle conversazioni,ttra
e invece devo stare dietro a uno che mi insulta e l'altro che mi spamma video,Tanto lo so che spiritualmente ho la precedenza su tutti 🥰
ricordatelo,Buonanotte per quando riuscirai a dormire *muah. ❤️❤️
ehilà,Buondì
come andiamo,"Oggi dormito molto bene, mi sento riposato. Quindi ottimo direi"
oleeee,Tu a che ora sei riuscita ad andare a dormire alla fine?
ma vaccagare,"Maaaaa. Non ho ben capito. Tu sei fidanzata, e non con Davide, il quale ti ha pure rifiutato.. in tutto questo perché mai ti starebbe facendo tutte queste storie?. Cioè non capisco il motivo dell'incazzatura e il resto"
ma io che cazzo ne so questo è un permaloso di merda,Consolati con questo bellissimo borghetto
null,Ma che bel vestitino
come si chiama?,Castelvetro
che bel nome,"Era vicino al b&b, ora invece andiamo a vedere meglio Modena. Ti stanno bene i vestitini, dovresti metterli più spesso"
ma graziee,Modena
"siamo a Nizza, quando arrivo a casa le guardo",Uffa quindi sta sera devo andare a letto senza chat a 4
stavo morendo d'ansia,"Mi hai beccato giusto in tempo. Appena messe il telefono in carica per andare a dormire, buonanotte ;). :) *"
<Media omitted>,"HAHAHAHAHAHA. Mamma pazza in autostrada, me lo immagino già sui giornali. Comunque buon riposo allora haha"
screen fatto:),"Ma povero cosa, povero io. Io più arrabbiato"
null,Be' ti faccio compagnia perché io ho dormito per tutte le ore principali del pomeriggio quindi non so quando riusciremo a visitare Bologna. A parte che stavo giusto per suggerirti di leggere un libro
dimmi dimmi,Comunque mi fa piacere che non sia l'unico pirla hahahahaha. A pensarla così intendo
mamma mia non vedo l'ora di iniziare filosofia,Io invece spero tanto non ti deluda
davanti ad un tè,"Comunque visto che hai introdotto l'argomento ""cose serie e filosofiche"" posso dirti che mentre tu hai avuto una particolare conversazione quadrisocialdimensionale, io ho finalmente scritto una poesia dopo almeno almeno due mesi (in realtà tipo 4) che non ne scrivevo una"
"alla cresima mi ha regalato 3 libri che aveva piacere a condividere con me, uno di questi il simposio che sto leggendo",Credo che solo quella possa veramente definirsi filosofia hahaha altro che a scuola
non ti chiederò di leggerla nonostante io sia terribilmente curiosa ma sono molto contenta per te,🫥. Leggeri
skippata alla stra grande,Io mi limito ad ascoltare galimberti che li spiega 😇
"mi intriga come persona, ho sentito un paio dei suoi ragionamenti e mi attira molto",Be' sai com'è credo sia il più importante filosofo contemporaneo italiano hahsha. Anche la gentile barbara ce lha fatto ascoltare una volta in classe
e Cacciari?,HAHAHAHAHAHA
aaaaaaaa,"Se parli del Cacciari che quando inizia a parlare è calmo e quando finisce di parlare sta urlando tantissimo si hahahaha. O almeno quando parla di politica ad ""8 e mezzo"", non so se conosci il programma, è condotto dalla Lily Gruber. Anche a me _in un certo senso_"
